region,month,price
Arganzuela,1,81.66983844042667
Arganzuela,2,76.03346828609988
Arganzuela,3,83.32182644941265
Arganzuela,4,87.00887795075295
Arganzuela,5,96.6068253968254
Arganzuela,6,87.82
Arganzuela,7,93.25427705901913
Arganzuela,8,74.97130813089721
Arganzuela,9,89.62962962962962
Arganzuela,10,99.86331313291825
Arganzuela,11,99.41826956993623
Arganzuela,12,85.8016873360339
Barajas,1,68.99854292124641
Barajas,2,75.7204873379813
Barajas,3,86.12255020620404
Barajas,4,90.18789591315453
Barajas,5,98.46457126245467
Barajas,6,95.42985625485625
Barajas,7,101.3080886396773
Barajas,8,81.47525838442958
Barajas,9,93.77777777777777
Barajas,10,114.32134948384949
Barajas,11,105.87536471253048
Barajas,12,106.19425260274318
Carabanchel,1,47.464285714285715
Carabanchel,2,61.861294261294255
Carabanchel,3,61.58235294117647
Carabanchel,4,62.52455648926237
Carabanchel,5,61.41159420289855
Carabanchel,6,76.45238095238095
Carabanchel,7,69.46571428571428
Carabanchel,8,60.75
Carabanchel,9,40.0
Carabanchel,10,62.028125
Carabanchel,11,60.154761904761905
Carabanchel,12,55.092166666666664
Centro,1,91.403385930309
Centro,2,98.19749965311
Centro,3,119.97599813071197
Centro,4,111.23483984123206
Centro,5,126.49285182067366
Centro,6,128.2603587111137
Centro,7,123.40928747515652
Centro,8,107.18059234195168
Centro,9,125.78019456389022
Centro,10,145.3103792296025
Centro,11,133.17895875032724
Centro,12,132.2090786726507
Chamartín,1,112.1595238095238
Chamartín,2,132.33665895508
Chamartín,3,131.36304347826086
Chamartín,4,120.4093253968254
Chamartín,5,125.21600322754169
Chamartín,6,136.625
Chamartín,7,155.2882208367218
Chamartín,8,118.23344030464108
Chamartín,9,131.43809523809523
Chamartín,10,140.33778998779
Chamartín,11,140.468008645766
Chamartín,12,122.539243816293
Chamberí,1,101.57137697184137
Chamberí,2,127.63857317919023
Chamberí,3,126.29900118870765
Chamberí,4,208.37388998165395
Chamberí,5,217.43449358023753
Chamberí,6,181.31071428571428
Chamberí,7,180.3097509924262
Chamberí,8,116.19673920334418
Chamberí,9,131.125
Chamberí,10,150.38454798884905
Chamberí,11,146.31014705882353
Chamberí,12,176.86742446570034
Ciudad Lineal,1,82.83743686868688
Ciudad Lineal,2,73.14084656084657
Ciudad Lineal,3,94.69444444444444
Ciudad Lineal,4,56.58333333333333
Ciudad Lineal,5,66.72418478260869
Ciudad Lineal,6,64.75
Ciudad Lineal,7,105.2281328320802
Ciudad Lineal,8,74.67037037037038
Ciudad Lineal,9,78.66666666666667
Ciudad Lineal,10,100.5
Ciudad Lineal,11,84.91844202898551
Ciudad Lineal,12,80.87104562104562
Fuencarral-El Pardo,1,97.73214285714286
Fuencarral-El Pardo,2,93.80416666666667
Fuencarral-El Pardo,3,86.75882352941176
Fuencarral-El Pardo,4,94.26153846153846
Fuencarral-El Pardo,5,87.41904761904763
Fuencarral-El Pardo,6,95.38333333333333
Fuencarral-El Pardo,7,128.56666666666666
Fuencarral-El Pardo,8,106.1875
Fuencarral-El Pardo,9,169.5
Fuencarral-El Pardo,10,149.22222222222223
Fuencarral-El Pardo,11,123.2654970760234
Fuencarral-El Pardo,12,201.80753968253967
Hortaleza,1,63.89930555555556
Hortaleza,2,72.34722222222221
Hortaleza,3,65.96547314578005
Hortaleza,4,77.43240740740741
Hortaleza,5,83.57963875205255
Hortaleza,6,89.21447028423772
Hortaleza,7,94.4436769005848
Hortaleza,8,72.12421695951107
Hortaleza,9,88.17592592592592
Hortaleza,10,99.02800269905534
Hortaleza,11,97.78273948273949
Hortaleza,12,83.64085351312241
Latina,1,53.625
Latina,2,48.0
Latina,3,46.0
Latina,4,59.666666666666664
Latina,5,102.5
Latina,6,59.5
Latina,7,102.5
Latina,8,64.0
Latina,9,64.0
Latina,10,57.0
Latina,11,56.642857142857146
Latina,12,120.38011695906432
